,ind,lon,lat,hs
565,565,198.50002,-71.50023,0.9685318060410747
566,566,199.50253,-71.50023,1.0143440391871426
567,567,200.49957,-71.50023,1.051857817051112
568,568,201.50209,-71.50023,1.0853164766019345
569,569,202.49913,-71.50023,1.1144591103002242
570,570,203.50165,-71.50023,1.1369036688323042
571,571,204.49869,-71.50023,1.1506362025309358
572,572,205.5012,-71.50023,1.1566347133038368
573,573,206.49825,-71.50023,1.1876459913081676
574,574,207.50076,-71.50023,1.1994796781631536
575,575,208.4978,-71.50023,1.207048809635037
576,576,209.50032,-71.50023,1.266002608627922
577,577,210.49736,-71.50023,1.2996409272328386
578,578,211.49988,-71.50023,1.3294790458975303
579,579,212.5024,-71.50023,1.356539166939376
580,580,213.49944,-71.50023,1.39670153875683
581,581,214.50195,-71.50023,1.4108740387179723
582,582,215.499,-71.50023,1.406308634114466
583,583,216.50151,-71.50023,1.3638300755347703
584,584,217.49855,-71.50023,1.2119458258097577
585,585,218.50107,-71.50023,1.1140422062437543
586,586,219.49811,-71.50023,1.1980333235844447
587,587,220.50063,-71.50023,1.2055647510459164
588,588,221.49767,-71.50023,1.1459404575792793
589,589,222.50018,-71.50023,0.8429887100810945
590,590,223.5027,-71.50023,0.4264833644005304
591,591,224.49974,-71.50023,0.0
592,592,225.50226,-71.50023,0.0
593,593,226.4993,-71.50023,0.0
594,594,227.50182,-71.50023,0.0
595,595,228.49886,-71.50023,0.0
596,596,229.50137,-71.50023,0.0
597,597,230.49841,-71.50023,0.0
598,598,231.50093,-71.50023,0.0
599,599,232.49797,-71.50023,0.0
600,600,233.50049,-71.50023,0.0
601,601,234.49753,-71.50023,0.0
602,602,235.50005,-71.50023,0.5034603534849581
603,603,236.50256,-71.50023,0.6032123305880596
604,604,237.4996,-71.50023,0.6409945810649014
605,605,238.50212,-71.50023,0.6635337184214801
606,606,239.49916,-71.50023,0.7142012223759729
607,607,240.50168,-71.50023,0.6823526287065608
608,608,241.49872,-71.50023,0.3832383393019433
609,609,242.50124,-71.50023,0.0
610,610,243.49828,-71.50023,0.0
611,611,244.5008,-71.50023,0.0
612,612,245.49783,-71.50023,0.0
613,613,246.50035,-71.50023,0.0
614,614,247.49739,-71.50023,0.0
615,615,248.49991,-71.50023,0.0
616,616,249.50243,-71.50023,0.0
617,617,250.49947,-71.50023,0.0
618,618,251.50198,-71.50023,0.0
619,619,252.49902,-71.50023,0.0
620,620,253.50154,-71.50023,0.0
621,621,254.49858,-71.50023,0.0
622,622,255.5011,-71.50023,0.0
623,623,256.49814,-71.50023,0.0
624,624,257.50067,-71.50023,0.0
625,625,258.49768,-71.50023,0.0
626,626,259.5002,-71.50023,0.0
627,627,260.50275,-71.50023,0.0
628,628,261.49976,-71.50023,0.0
629,629,262.5023,-71.50023,0.0
630,630,263.49933,-71.50023,0.0
631,631,264.50183,-71.50023,0.0
632,632,265.4989,-71.50023,0.0
633,633,266.5014,-71.50023,0.0
634,634,267.49844,-71.50023,0.0
635,635,268.50098,-71.50023,0.0
636,636,269.498,-71.50023,0.0
637,637,270.50052,-71.50023,0.0
638,638,271.49756,-71.50023,0.0
639,639,272.50006,-71.50023,0.0
640,640,273.5026,-71.50023,0.0
641,641,274.49963,-71.50023,0.0
642,642,275.50214,-71.50023,0.0
643,643,276.4992,-71.50023,0.0
644,644,277.5017,-71.50023,0.0
645,645,278.49875,-71.50023,0.0
646,646,279.50128,-71.50023,0.0
647,647,280.4983,-71.50023,0.0
648,648,281.50082,-71.50023,0.0
649,649,282.49786,-71.50023,0.0
650,650,283.50037,-71.50023,0.0
651,651,284.49744,-71.50023,0.0
652,652,285.49994,-71.50023,0.0
653,653,300.49936,-71.50023,0.0
654,654,301.5019,-71.50023,0.0
655,655,302.4989,-71.50023,0.0
656,656,303.50143,-71.50023,0.0
657,657,304.49847,-71.50023,0.0
658,658,305.50098,-71.50023,0.0
659,659,306.49805,-71.50023,0.0
660,660,307.50055,-71.50023,0.0
661,661,308.4976,-71.50023,0.0
662,662,309.50012,-71.50023,0.0
663,663,310.50262,-71.50023,0.0
664,664,311.49966,-71.50023,0.0
665,665,312.5022,-71.50023,0.0
666,666,313.4992,-71.50023,0.0
667,667,314.50174,-71.50023,0.0
668,668,315.49878,-71.50023,0.0
669,669,316.50128,-71.50023,0.0
670,670,317.49835,-71.50023,0.0
671,671,318.50085,-71.50023,0.0
672,672,319.4979,-71.50023,0.0
673,673,320.50043,-71.50023,0.0
674,674,321.49744,-71.50023,0.0
675,675,322.49997,-71.50023,0.0
676,676,323.5025,-71.50023,0.0
677,677,324.4995,-71.50023,0.0
678,678,325.50204,-71.50023,0.0
679,679,326.49908,-71.50023,0.0
680,680,327.5016,-71.50023,0.0
681,681,328.49866,-71.50023,0.0
682,682,329.50116,-71.50023,0.0
683,683,330.4982,-71.50023,0.0
684,684,331.50073,-71.50023,0.0
685,685,332.49774,-71.50023,0.0
686,686,333.50027,-71.50023,0.0
687,687,334.4973,-71.50023,0.0
688,688,335.49982,-71.50023,0.0
689,689,336.50235,-71.50023,0.0
690,690,337.4994,-71.50023,0.0
691,691,338.5019,-71.50023,0.0
692,692,339.49896,-71.50023,0.0
693,693,340.50146,-71.50023,0.0
694,694,341.4985,-71.50023,0.0
695,695,342.50104,-71.50023,0.0
696,696,343.49805,-71.50023,0.0
697,697,344.50058,-71.50023,0.0
698,698,345.49762,-71.50023,0.0
699,699,346.50012,-71.50023,0.0
700,700,347.50266,-71.50023,0.0
